number,name,type_1,type_2,abilities,hp,att,def,spa,spd,spe,bst,mean,standard_deviation,generation,experience_type,experience_to_level_100,final_evolution,catch_rate,legendary,mega_evolution,alolan_form,galarian_form,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,height,weight,bmi,bmi_clipped,atk_def_ratio,offensive_power,defensive_power
1,bulbasaur,grass,poison,"['chlorophyll', 'overgrow']",45,49,49,65,65,45,318,53.0,8.640987597877146,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7,6.9,14.1,14.1,1.0,114,114
2,ivysaur,grass,poison,"['chlorophyll', 'overgrow']",60,62,63,80,80,60,405,67.5,8.902246907382429,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,13.0,13.0,13.0,0.9841269841269841,142,143
3,venusaur,grass,poison,"['chlorophyll', 'overgrow']",80,82,83,100,100,80,525,87.5,8.902246907382429,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,100.0,25.0,25.0,0.9879518072289156,182,183
3,mega_venusaur,grass,poison,['thick fat'],80,100,123,122,120,80,625,104.16666666666669,18.747592438023133,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.4,155.5,27.0,27.0,0.8130081300813008,222,243
4,charmander,fire,none,"['blaze', 'solar power']",39,52,43,60,50,65,309,51.5,8.995369179009089,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.6,8.5,23.6,23.6,1.2093023255813953,112,93
5,charmeleon,fire,none,"['blaze', 'solar power']",58,64,58,80,65,80,405,67.5,9.233092656309694,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.1,19.0,15.7,15.7,1.103448275862069,144,123
6,charizard,fire,flying,"['blaze', 'solar power']",78,84,78,109,85,100,534,89.0,11.575836902790224,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1.7,90.5,31.3,31.3,1.0769230769230769,193,163
6,mega_charizard_y,fire,flying,['drought'],78,104,78,159,115,100,634,105.66666666666669,27.378012264508094,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1.7,100.5,34.8,34.8,1.3333333333333333,263,193
6,mega_charizard_x,fire,dragon,['tough claws'],78,130,111,130,85,100,634,105.66666666666669,20.154955277107963,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.7,110.5,38.2,38.2,1.1711711711711712,260,196
7,squirtle,water,none,"['rain dish', 'torrent']",44,48,65,50,64,43,314,52.333333333333336,8.919392106839767,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,9.0,36.0,36.0,0.7384615384615385,98,129
